type,sitecode,city,address1,address2,city,state,zipcode,telephone,fax,lat,lng,region_lat,region_lng,officename,servicing_states,,,region,_name,efile_fax,field_offices
HO,X01,Newark,3rd Floor,1100 Raymond Boulevard,Newark,NJ,07102,(877) 405-9798,8337790460,40.736222,-74.166987,,,"SSA, OHO",,,,2,Region 2,(877) 482-0781,"NEW JERSEY: East Orange, Neptune, New Brunswick, Newark, Newton, Parsippany, Somerville, Springfield Ave, Trenton, Union Township, Woodbridge"
HO,X82,New York,Room 2909,26 Federal Plaza,New York,NY,10278-0035,(877) 405-6744,8339852296,40.715216,-74.00367,,,"SSA, OHO",,,,2,Region 2,(877) 379-8642,"NEW YORK: Bedford Heights,  Brooklyn New Utrecht,  Downtown East Harlem, East Village, Midtown, Uptown, Washington Heights"
HO,X69,New York Varick,"3rd Floor, Room 315",201 Varick Street,New York,NY,10014-9998,(866) 964-9971,8333590113,40.72834,-74.006221,,,"SSA, OHO",,,,2,Region 2,(877) 379-8558,"NEW YORK: Boro Hall, Brooklyn Flatbush, Brooklyn Bushwick, Canarsie"
HO,Y62,Ponce,Suite 302,880 Tito Castro Avenue,Ponce,PR,00716-4735,(866) 217-1507,8335110335,18.029894,-66.594577,,,"SSA, OHO",,,,2,Region 2,(877) 470-5091,"PUERTO RICO: Guayama, Ponce"
HO,X35,Queens,Joseph P Addabbo Federal Building,"155-10 Jamaica Avenue, 2nd Floor",Jamaica,NY,11432,(866) 931-6092,8336320075,40.702898,-73.800692,,,"SSA, OHO",,,,2,Region 2,(877) 304-5005,"NEW YORK: Cypress Hill, Far Rockaway, Flushing, Jamaica,  Long Island City, Rego Park"
HO,Y77,Rochester,"U.S. Federal Building, Room 4140",100 State Street,Rochester,NY,14614,(866) 331-3271,8335110339,43.157841,-77.613464,,,"SSA, OHO",,,,2,Region 2,(877) 304-8991,"NEW YORK: Geneva, Greece, Rochester"
HO,Y60,San Juan,"Capital Office Building, 10th Floor",800 Ponce de Leon Avenue,San Juan,PR,00907,(866) 262-0047,8335110331,18.448924,-66.072026,,,"SSA, OHO",,,,2,Region 2,(877) 470-5094,"PUERTO RICO: Arecibo, Bayamon, Caguas, Carolina, Fajardo, Hato Tejas, Humacao, Manati, San Juan, San Patricio and VIRGIN ISLANDS: St. Croix, St. Thomas"
HO,T16,South Jersey,2475 McClellan Avenue,,Pennsauken,NJ,08109,(866) 964-5769,8339422183,39.930712,-75.067977,,,"SSA, OHO",,,,2,Region 2,(877) 389-3957,"NEW JERSEY: Brick, Bridgeton, Cherry Hill, Egg Harbor Township, Glassboro, Mount Holly, Rio Grande, Toms River"
HO,X02,Syracuse,5th Floor,300 S. State Street,Syracuse,NY,13202,(888) 655-6477,8337790462,43.048357,-76.147649,,,"SSA, OHO",,,,2,Region 2,(877) 304-5049,"NEW YORK:  Binghamton, Corning, Elmira, Ithaca, Ogdensburg, Oswego, Syracuse, Utica, Watertown"
HO,Y07,White Plains,Suite 202,75 South Broadway,White Plains,NY,10601,(877) 691-6146,8335630489,41.029702,-73.762444,,,"SSA, OHO",,,,2,Region 2,(877) 304-8717,"NEW YORK:  Monticello, New Rochelle, Newburgh, Peekskill, Poughkeepsie, West Nyack, White Plains, Yonkers"
RO,X25,Philadelphia,4th Floor,300 Spring Garden Street,Philadelphia,PA,19123,(215) 597-9980,8336130470,39.953027,-75.167212,38.953027,-79.167212,"SSA, OHO","Delaware, Maryland, Pennsylvania, Virginia, West Virginia, District of Columbia",,,3,Region 3,,
HO,T21,Baltimore,"The Symphony Center, Room 300",1010 Park Avenue,Baltimore,MD,21201-5600,(866) 613-3960,8337100399,39.303029,-76.618979,,,"SSA, OHO",,,,3,Region 3,(877) 548-8804,"MARYLAND: Abingdon, Annapolis, Baltimore (Downtown), Baltimore (Glen Burnie), Baltimore (Northeast), Baltimore (Rossville), Baltimore (Wabash), Baltimore (West), Columbia, Elkton, Frederick, Hagerstown, Owings Mills, Towson, Westminster, Winchester"
NCAC,,Baltimore,Woodlawn Office Complex Building,1718 Woodlawn Drive,Baltimore,MD,21207,(410) 965-0134,8335160367,39.331435,-76.759123,,,"SSA, OHO, NCAC",,,,3,Region 3,(877) 871-1880,NCACs are not open to the public.
NHC,T0T,Baltimore,Suite 450,849 Fairmount Avenue,Towson,MD,21286,(877) 711-5019,8336311016,39.331435,-76.759123,,,"SSA, OHO, NHC",,,,3,Region 3,(877) 310-3637,NHCs are not open to the public.
NHC-SO,T2W,Baltimore,Suite 1311,1718 Woodlawn Drive,Baltimore,MD,21207,(410) 965-8795,8336311016,39.314902,-76.737517,,,"SSA, OHO, NHC-SO",,,,3,Region 3,(877) 310-3637,NHCs are not open to the public.
HO,Y09,Charleston,Suite 100,500 Quarrier Street,Charleston,WV,25301,(888) 527-9325,8335740712,38.35189,-81.637308,,,"SSA, OHO",,,,3,Region 3,(877) 871-1882,"OHIO: Athens, Cambridge, Marietta and WEST VIRGINIA: Beckley, Charleston, Logan, Martinsburg, Parkersburg, St. Albans, Welch, Williamson"
HO,X39,Charlottesville,2nd Floor,1470 Pantops Mountain Place,Charlottesville,VA,22911,(866) 613-2969,8336590418,38.027995,-78.439394,,,"SSA, OHO",,,,3,Region 3,(877) 390-2321,"MARYLAND: Cumberland and VIRGINIA:  Charlottesville, Culpeper, Danville, Harrisonburg, Martinsville, South Boston, Staunton and WEST VIRGINIA: Petersburg"
HO,T40,Dover,Blue Hen Corporate Center,"655 S. Bay Road, Suite 3i",Dover,DE,19901,(877) 405-3671,8334140625,39.156957,-75.530898,,,"SSA, OHO",,,,3,Region 3,(877) 548-8803,"DELAWARE: Dover, Lewes, Wilmington and MARYLAND: Cambridge"
HO,T26,Elkins Park,Suite 250,8380 Old York Road,Elkins Park,PA,19027,(866) 964-7369,8337190410,40.086662,-75.12804,,,"SSA, OHO",,,,3,Region 3,(877) 548-8806,"PENNSYLVANIA: Allentown, Bethlehem, Easton, Fairless Hills, Limerick, Philadelphia (NE), Reading"
NCAC,9O2,Falls Church,"One Skyline Tower, 12th Floor",5107 Leesburg Pike,Falls Church,VA,22041,(703) 605-7555,8335160390,38.84371,-77.119292,,,"SSA, OHO, NCAC",,,,3,Region 3,,NCACs are not open to the public.
NHC-CO,Y40,Falls Church,"One Skyline Tower, Suite 700",5107 Leesburg Pike,Falls Church,VA,22041,(703) 605-8405,7036058492,38.84432,-77.116663,39.402244,-78.87959,"SSA, OHO, NHC-Central Office",,,,3,Region 3,,NHCs are not open to the public.
NHC,T0D,Falls Church,"One Skyline Tower, Suites 105A, 109A, and 1504",5107 Leesburg Pike,Falls Church,VA,22041,(877) 229-3532,8337960379,39.402244,-78.8795902,,,"SSA, OHO, NHC",,,,3,Region 3,(877) 311-5288,NHCs are not open to the public.
HO,Y10,Harrisburg,8th Floor,2 North 2nd Street,Harrisburg,PA,17101,(888) 352-3691,8335740714,40.259512,-76.882136,,,"SSA, OHO",,,,3,Region 3,(877) 548-8807,"PENNSYLVANIA: Carlisle, Chambersburg, Harrisburg, Lancaster, Lebanon, Lewistown, York"
HO,X04,Huntington,2nd Floor Annex,301 9th Street,Huntington,WV,25701,(866) 592-1607,8337890403,38.421545,-82.444317,,,"SSA, OHO",,,,3,Region 3,(877) 871-1883,"KENTUCKY:  Ashland, Pikeville, Prestonsburg and OHIO: Gallipolis, Ironton, Portsmouth and WEST VIRGINIA: Huntington"
HO,Y08,Johnstown,Suite 200,334 Washington Street,Johnstown,PA,15901-9954,(866) 331-7134,8335630491,40.327771,-78.919688,,,"SSA, OHO",,,,3,Region 3,(877) 548-8809,"PENNSYLVANIA: Altoona, DuBois, Indiana, Johnstown, State College"
HO,R95,Morgantown,Suite FS1,5000 Greenbag Road,Morgantown,WV,26501-7236,(877) 405-9197,8337960375,44.872552,4.857682,,,"SSA, OHO",,,,3,Region 3,(877) 871-1884,"OHIO: East Liverpool, Steubenville and PENNSYLVANIA: Uniontown and WEST VIRGINIA: Clarksburg, Elkins, Fairmont, Morgantown, Wheeling"
HO,X40,Norfolk,3rd Floor,5850 Lake Herbert Drive,Norfolk,VA,23502,(866) 931-9167,8336590420,36.869012,-76.20704,,,"SSA, OHO",,,,3,Region 3,(877) 871-1879,"MARYLAND: Charlotte Hall, Salisbury and VIRGINIA: Accomac, Hampton, Newport News, Norfolk, Portsmouth, Suffolk, Virginia Beach"
HO,Y11,Philadelphia,21st Floor,1601 Market Street,Philadelphia,PA,19103,(866) 964-6288,8335740716,39.953027,-75.167212,,,"SSA, OHO",,,,3,Region 3,(877) 548-8810,"PENNSYLVANIA: Norristown, Philadelphia (Aramingo), Philadelphia (Downtown), Philadelphia (South), Philadelphia (West), West Chester"
HO,R56,Philadelphia East,Suite 502,833 Chestnut Street,Philadelphia,PA,19107,(866) 572-9721,8333200687,39.949764,-75.155156,,,"SSA, OHO",,,,3,Region 3,(877) 548-8811,"PENNSYLVANIA: Chester, Philadelphia (Germantown), Philadelphia (Nicetown), Upper Darby"
HO,Y12,Pittsburgh,Suite 2308,1000 Liberty Avenue,Pittsburgh,PA,15222,(866) 331-2291,8335740718,40.442597,-79.999179,,,"SSA, OHO",,,,3,Region 3,(877) 560-5935,"PENNSYLVANIA: Greensburg, McKeesport, Monroeville, Pittsburgh (Downtown), Pittsburgh (East), Pittsburgh (Mt. Lebanon), Rostraver, Washington"
HO,X72,Richmond,Suite 225,1100 E. Main Street,Richmond,VA,23219,(877) 405-3665,8339492150,37.538529,-77.437107,,,"SSA, OHO",,,,3,Region 3,(877) 871-1880,"VIRGINIA: Chesterfield, Farmville, Fredericksburg, Lynchburg, Petersburg, Richmond (Downtown), Richmond (East)"
HO,X38,Roanoke,"Second Floor, Suite 200",612 South Jefferson Street,Roanoke,VA,24011,(866) 592-3548,8336590415,37.268221,-79.940219,,,"SSA, OHO",,,,3,Region 3,(877) 871-1881,"VIRGINIA: Bristol, Covington, Roanoke, Wise, Wytheville and WEST VIRGINIA: Bluefield"
HO,T0B,Seven Fields,"One Adams Place, Suite 200",300 Seven Fields Boulevard,Mars,PA,16046,(855) 278-4199,8337960377,40.690402,-80.057263,,,"SSA, OHO",,,,3,Region 3,(877) 560-5935,"PENNSYLVANIA: Ambridge, Butler, Cranberry (formerly Oil City), Erie, Kittanning, Meadville, New Castle, New Kensington, Sharon"
HO,X73,Washington,3rd Floor,1227 25th Street N.W.,Washington,DC,20037,(866) 414-6259,8339492152,38.905993,-77.052875,,,"SSA, OHO",,,,3,Region 3,(877) 548-8583,"DISTRICT OF COLUMBIA: Anacostia, DC Downtown/D Street, Postal Plaza and MARYLAND: Camp Springs, Greenbelt, Rockville, Silver Spring and VIRGINIA: Alexandria, Arlington, Fairfax, Manassas"
HO,X03,Wilkes-Barre,"Stegmaier Building, Suite 201",7 North Wilkes-Barre Boulevard,Wilkes-Barre,PA,18702-5242,(866) 895-1594,8337790464,41.242076,-75.877185,,,"SSA, OHO",,,,3,Region 3,(877) 560-5936,"PENNSYLVANIA: Bloomsburg, East Stroudsburg, Hazleton, Pottsville, Scranton, Selinsgrove, Towanda, Wilkes-Barre, Williamsport"
RO,X21,Atlanta,"Atlanta Federal Center, Suite 20T10","61 Forsyth Street, S.W.",Atlanta,GA,30303,(404) 562-1182,8335860166,33.761192,-84.385601,32.560395,-83.534424,"SSA, OHO","Alabama, Florida, Georgia, Kentucky, Mississippi, North Carolina, South Carolina, Tennessee",,,4,Region 4,,
HO,Y13,Atlanta (Downtown),"Suite 500, Marquis 1",245 Peachtree Center Avenue,Atlanta,GA,30303,(866) 964-7350,8336040723,33.761192,-84.385601,,,"SSA, OHO",,,,4,Region 4,(877) 330-9975,"GEORGIA: Atlanta (Downtown), Atlanta (West), Columbus, La Grange, Marietta, Newnan, Southlake-Morrow, Villa Rica"
HO,X83,Atlanta (North),2nd Floor,4100 Old Milton Parkway,Alpharetta,GA,30005,(855) 210-1031,8339852298,33.84916,-84.315483,,,"SSA, OHO",,,,4,Region 4,(877) 330-9977,"GEORGIA: Gainesville, Gwinnett, Toccoa, Winder"
PU,T2J,Augusta,"115 Robert C. Daniel, Jr. Parkway",,Augusta,GA,30909,(888) 872-1596,8337750567,33.459648,-82.032129,,,"SSA, OHO, Pulling Unit",,,,4,Region 4,(877) 314-9639,"Pulling Unit assigned to the OHO Columbia, SC Hearing Office"
HO,X77,Birmingham,1st Floor,"1200 Rev. Abraham Woods, Jr. Boulevard",Birmingham,AL,35285,(866) 613-2863,8339681654,33.516322,-86.821509,,,"SSA, OHO",,,,4,Region 4,(877) 670-6787,"ALABAMA: Albertville, Bessemer, Birmingham (Downtown), Birmingham (East), Gadsden, Jasper, Talladega, Tuscaloosa"
HO,Y18,Charleston,Suite 300,3875 Faber Place Drive,North Charleston,SC,29405,(877) 405-1467,8336040730,32.848785,-80.019114,,,"SSA, OHO",,,,4,Region 4,(877) 470-5098,"NORTH CAROLINA: Wilmington and SOUTH CAROLINA: Beaufort, Charleston, Conway, Georgetown, Walterboro"
HO,T27,Charlotte,Suite 200,2201 Coronation Boulevard,Charlotte,NC,28227,(888) 397-4124,8337190412,35.085412,-80.84526,,,"SSA, OHO",,,,4,Region 4,(877) 470-5101,"NORTH CAROLINA: Albemarle, Charlotte, Concord, Hickory, Gastonia, Salisbury, Shelby, Statesville and SOUTH CAROLINA: Rock Hill"
HO,X49,Chattanooga,Suite 200,1232 Premier Drive,Chattanooga,TN,37421,(877) 833-2721,8335100092,35.019159,-85.188977,,,"SSA, OHO",,,,4,Region 4,(877) 470-5099,"GEORGIA: Dalton, Rome and TENNESSEE: Athens, Chattanooga, Cleveland, Tullahoma"
HO,T22,Columbia,Suite 215,101 Executive Center Drive,Columbia,SC,29210,(866) 399-6950,8337100401,34.008407,-81.04839,,,"SSA, OHO",,,,4,Region 4,(877) 470-5093,"GEORGIA:  Augusta and SOUTH CAROLINA: Aiken, Bennettsville, Columbia, Florence, Orangeburg, Sumter"
HO,T1I,Covington,10155 Eagle Drive,,Covington,GA,30014,(866) 708-3231,8339532164,33.574724,-83.840079,,,"SSA, OHO",,,,4,Region 4,(877) 787-5217,"GEORGIA: Athens, Covington, Decatur, Griffin"
HO,T1L,Fayetteville,2nd Floor,150 Rowan Street,Fayetteville,NC,28301,(888) 552-7169,8339561140,35.058408,-78.878613,,,"SSA, OHO",,,,4,Region 4,(877) 435-0336,"NORTH CAROLINA: Fayetteville, Kinston, New Bern, Lumberton, Rockingham, Sanford, Wilmington, Whiteville"
HO,X50,Florence,Walnut Street Executive Center,"204 South Walnut Street, Suite D",Florence,AL,35630,(866) 964-9978,8335100094,34.800902,-87.671377,,,"SSA, OHO",,,,4,Region 4,(877) 871-1886,"ALABAMA: Cullman, Florence, Huntsville"
HO,X07,Fort Lauderdale,"Suite 1000, 10th Floor",500 East Broward Boulevard,Fort Lauderdale,FL,33394,(888) 436-2637,8337890409,26.121951,-80.138418,,,"SSA, OHO",,,,4,Region 4,(877) 760-0003,
HO,T1Z,Fort Myers,"2nd Floor, Suite 210",3650 Colonial Boulevard,Ft. Myers,FL,33966,(888) 462-1109,8337020721,26.596541,-81.838789,,,"SSA, OHO",,,,4,Region 4,(877) 847-1596,"FLORIDA: Ft. Myers, Naples, Port Charlotte"
HO,T2H,Franklin,Suite 350,6840 Carothers Parkway,Franklin,TN,37067-6538,(866) 568-9450,8337630400,35.943073,-86.807376,,,"SSA, OHO",,,,4,Region 4,(877) 560-6889,"ALABAMA: Decatur and TENNESSEE: Columbia, Jackson, Lawrenceburg, McMinnville, Murfreesboro, Selmer"
HO,Y20,Greensboro,Suite 300,101 South Edgeworth Street,Greensboro,NC,27401,(866) 690-2091,8336160128,36.0727747,-79.7961288,,,"SSA, OHO",,,,4,Region 4,(877) 470-5092,"NORTH CAROLINA: Greensboro, Reidsville, Wilkesboro"
HO,X48,Greenville,475 North Main Street,,Mauldin,SC,29662,(866) 827-6721,8335090823,34.7807,-82.3035,,,"SSA, OHO",,,,4,Region 4,(877) 470-5096,"NORTH CAROLINA: Franklin, Hendersonville FO and SOUTH CAROLINA: Anderson, Greenville, Spartanburg and SOUTH CAROLINA: Clinton, Greenwood"
HO,X79,Hattiesburg,1901 Broadway Drive,,Hattiesburg,MS,39402,(866) 348-5831,8339681658,31.2992444,-89.3239126,,,"SSA, OHO",,,,4,Region 4,(877) 372-8804,"MISSISSIPPI: Brookhaven, Forest, Gulfport, Hattiesburg, Laurel, McComb, Meridian, Moss Point, Natchez, Philadelphia"
HO,Y19,Jackson,"McCoy Federal Building, Suite 401",100 West Capitol Street,Jackson,MS,39269,(888) 385-8499,8336040732,32.301103,-90.188912,,,"SSA, OHO",,,,4,Region 4,(877) 435-0330,"MISSISSIPPI: Cleveland, Greenville, Greenwood, Jackson, Kosciusko, Vicksburg"
HO,X41,Jacksonville,"Building 400, Suite 400",8880 Freedom Crossing Trail,Jacksonville,FL,32256,(866) 931-0124,8336590423,30.2129755,-81.5691346,,,"SSA, OHO",,,,4,Region 4,(877) 760-0594,"FLORIDA: Deland, Gainesville, Jacksonville (North), Jacksonville (South), Lake City, Port Orange, St. Augustine"
HO,T23,Kingsport,2405 South Wilcox Drive,,Kingsport,TN,37660,(888) 632-6913,8337100403,36.4998417,-82.5662486,,,"SSA, OHO",,,,4,Region 4,(877) 601-3827,"NORTH CAROLINA: Asheville and TENNESSEE: Greenville, Kingsport, Johnson City, Morristown"
HO,X51,Knoxville,135 Circle Lane,,Knoxville,TN,37919,(877) 692-3141,8335100096,35.9328054,-84.0125623,,,"SSA, OHO",,,,4,Region 4,(877) 435-0335,"TENNESSEE: Cookeville, Jacksboro, Knoxville, Oak Ridge"
HO,X74,Lexington,Suite 210,2241 Buena Vista Road,Lexington,KY,40505-9901,(866) 783-7301,8339492154,38.064923,-84.525049,,,"SSA, OHO",,,,4,Region 4,(877) 347-8827,"KENTUCKY: Campbellsville, Danville, Frankfort, Hazard, Jackson, Lexington, Maysville, Richmond"
HO,X80,Louisville,Gene Snyder U.S. Courthouse,"601 W. Broadway, Suite 300",Louisville,KY,40202,(866) 755-0197,8339681660,38.245285,-85.743115,,,"SSA, OHO",,,,4,Region 4,(877) 347-9192,"INDIANA: New Albany and KENTUCKY: Bowling Green, Elizabethtown, Louisville (Downtown), Louisville
(East)"
NCAC,,Louisville,Gene Snyder U.S. Courthouse,"601 West Broadway, Lower Level",Louisville,KY,40202,(866) 367-1224,8334140619,38.246983,-85.762468,,,"SSA, OHO, NCAC",,,,4,Region 4,,NCACs are not open to the public.
HO,X05,Macon,Suite 500,484 Mulberry Street,Macon,GA,31201-7929,(866) 331-2191,8337890405,32.8365712,-83.6259892,,,"SSA, OHO",,,,4,Region 4,(877) 338-4214,"GEORGIA: Albany, Cordele, Macon, Tifton, Warner Robins"
HO,Y15,Memphis,309 Monroe Avenue,,Memphis,TN,38103,(866) 348-5830,8336040727,35.1423333,-90.0465977,,,"SSA, OHO",,,,4,Region 4,(877) 844-8753,"ARKANSAS: West Memphis; MISSISSIPPI: Olive Branch and TENNESSEE: Dyersburg, Memphis (Downtown), Memphis (North), Memphis (South), Union City"
HO,X75,Miami,"One Riverview Square, 8th Floor",333 S. Miami Avenue,Miami,FL,33130,(866) 964-5052,8339681652,25.7711084,-80.1929178,,,"SSA, OHO",,,,4,Region 4,(877) 330-7137,"FLORIDA: Allapattah, Hialeah, Key West, Little Havanna, Little River, Miami Beach, Miami (North), Miami (South), Perrine, Jackson Mem Site"
HO,X47,Middlesboro,12 Tech Park Drive,,Middlesboro,KY,40965,(877) 600-2851,8335090821,36.6055745,-83.7360038,,,"SSA, OHO",,,,4,Region 4,(877) 365-1103,"KENTUCKY: Corbin, Harlan, Middlesboro, Somerset"
HO,X78,Mobile,Suite 200,550 Government Street,Mobile,AL,36602,(866) 563-4698,8339681656,30.688372,-88.048647,,,"SSA, OHO",,,,4,Region 4,(877) 871-2433,"ALABAMA: Andalusia, Dothan, Fairhope, Jackson, Mobile and FLORIDA: Ft. Walton Beach, Pensacola"
HO,X42,Montgomery,Suite 200,4344 Carmichael Road,Montgomery,AL,36106,(866) 931-9032,8334990271,32.3568812,-86.2356097,,,"SSA, OHO",,,,4,Region 4,(877) 871-3055,"ALABAMA: Alexander City, Anniston, Montgomery, Opelika, Selma"
HO,Y14,Nashville,221 Cumberland Bend,,Nashville,TN,37228-1803,(877) 583-4103,8336040725,36.1947947,-86.788206,,,"SSA, OHO",,,,4,Region 4,(877) 847-1598,"TENNESSEE: Clarksville, Gallatin, Madison, Nashville, Paris"
HO,Y21,Orlando,"Glenridge Building, Suite 300",3505 Lake Lynda Drive,Orlando,FL,32817-8338,(877) 833-2730,8336160130,28.6009061,-81.2223825,,,"SSA, OHO",,,,4,Region 4,(877) 330-7138,"FLORIDA: Cocoa, Cocoa Beach, Kissimmee, Lake Mary, Leesburg, Ocala, Orlando"
HO,Y23,Paducah,Suite 200,4730 Village Square Drive,Paducah,KY,42001,(866) 964-2041,8336160134,37.0708501,-88.6911072,,,"SSA, OHO",,,,4,Region 4,(877) 371-2533,"KENTUCKY: Hopkinsville, Madisonville, Mayfield, Owensboro, Paducah"
HO,X43,Raleigh,Suite 200,4800 Falls of Neuse Road,Raleigh,NC,27609,(866) 708-3174,8334990273,35.8470291,-78.6138351,,,"SSA, OHO",,,,4,Region 4,(877) 470-5095,"NORTH CAROLINA: Ahoskie, Durham, Elizabeth City, Goldsboro, Greenville, Henderson, Raleigh, Roanoke Rapids, Rocky Mount, Smithfield, Washington, Wilson"
HO,Y22,Savannah,2nd Floor,8 Southern Oaks Court,Savannah,GA,31405,(866) 964-7590,8336160132,32.0622457,-81.1589056,,,"SSA, OHO",,,,4,Region 4,(877) 338-4215,"GEORGIA: Brunswick, Dublin, Savannah, Statesboro, Valdosta, Vidalia, Waycross"
HO,T1K,St. Petersburg,2nd Floor,830 Central Avenue,St. Petersburg,FL,33701,(877) 452-4193,8339561138,27.7711413,-82.6453705,,,"SSA, OHO",,,,4,Region 4,(877) 847-1597,"FLORDIA: Bradenton, Clearwater, New Port Richey, Sarasota, St. Petersburg, Venice"
HO,T1J,Tallahassee,2nd Floor,1961 Quail Grove Lane,Tallahassee,FL,32311,(888) 472-5996,8339532166,30.4004332,-84.2375502,,,"SSA, OHO",,,,4,Region 4,(877) 435-0334,"FLORIDA: Marianna, Panama City, Tallahassee and GEORGIA: Thomasville"
HO,X06,Tampa,"Fountain Square II, Suite 200",4925 Independence Parkway,Tampa,FL,33634,(855) 248-0239,8337890407,27.978468,-82.55003,,,"SSA, OHO",,,,4,Region 4,(877) 330-7844,"FLORIDA: Carrollwood, Dade City, Lakeland, Sebring, Tampa, Valrico, Winter Haven"
HO,Y49,Tupelo,Suite 3A,1150 South Green Street,Tupelo,MS,38804,(866) 275-9405,8335080572,34.248627,-88.70712,,,"SSA, OHO",,,,4,Region 4,(877) 470-5097,"MISSISSIPPI: Clarksdale, Columbus, Corinth, Grenada, Starkville, Tupelo"
